i,j,x,y,yaw
0,421,-0.00026,0.13706,-0.08448
0,422,-0.00026,0.13706,-0.08448
0,423,-0.00042,0.13713,-0.08911
0,424,-0.00042,0.13713,-0.08911
0,425,-0.00042,0.13713,-0.08911
0,426,-0.00049,0.13648,-0.06541
0,427,-0.00049,0.13648,-0.06541
0,428,-0.00049,0.13648,-0.06541
0,429,-0.00049,0.13648,-0.06541
0,430,-0.00049,0.13648,-0.06541
0,431,-0.00049,0.13648,-0.06541
0,432,-0.00049,0.13648,-0.06541
0,433,-0.00049,0.13648,-0.06541
0,434,-0.00049,0.13648,-0.06541
0,435,-0.00049,0.13648,-0.06541
0,436,-0.00084,0.13584,-0.10909
0,437,-0.00084,0.13584,-0.10909
0,438,-0.00084,0.13584,-0.10909
0,439,-0.00084,0.13584,-0.10909
0,440,-0.00084,0.13584,-0.10909
0,441,-0.00084,0.13584,-0.10909
0,442,-0.00084,0.13584,-0.10909
0,443,-0.00084,0.13584,-0.10909
0,444,-0.00084,0.13584,-0.10909
0,445,0.0005,0.13706,-0.08433
0,446,0.0005,0.13706,-0.08433
0,447,0.0005,0.13706,-0.08433
0,448,-0.0002,0.13655,-0.07688
0,449,-0.0002,0.13655,-0.07688
0,450,-0.0002,0.13655,-0.07688
0,451,0.00013,0.13672,-0.0631
0,452,0.00013,0.13672,-0.0631
0,453,0.00013,0.13672,-0.0631
0,454,0.00013,0.13672,-0.0631
0,455,0.00125,0.13753,-0.06563
0,456,0.00125,0.13753,-0.06563
0,457,0.00125,0.13753,-0.06563
0,458,0.00013,0.13672,-0.0631
0,459,0.00013,0.13672,-0.0631
0,460,0.00013,0.13672,-0.0631
0,461,0.00096,0.13717,-0.06215
0,462,0.00096,0.13717,-0.06215
0,463,0.00096,0.13717,-0.06215
0,464,0.00096,0.13717,-0.06215
0,465,0.00096,0.13717,-0.06215
0,466,0.00096,0.13717,-0.06215
0,467,0.00134,0.13736,-0.07498
0,468,0.00134,0.13736,-0.07498
0,469,0.00134,0.13736,-0.07498
0,470,0.00012,0.13625,-0.07443
0,471,0.00012,0.13625,-0.07443
0,472,0.00012,0.13625,-0.07443
0,473,0.00017,0.13669,-0.07647
0,474,0.00017,0.13669,-0.07647
0,475,0.00017,0.13669,-0.07647
0,476,0.00017,0.13669,-0.07647
0,477,0.00017,0.13669,-0.07647
0,478,0.00017,0.13669,-0.07647
0,479,0.00017,0.13669,-0.07647
0,480,0.00105,0.13704,-0.0553
0,481,0.00105,0.13704,-0.0553
0,482,0.00105,0.13704,-0.0553
0,483,0.00077,0.13649,-0.07333
0,484,0.00077,0.13649,-0.07333
0,485,0.00077,0.13649,-0.07333
0,486,0.00207,0.13764,-0.07861
0,487,0.00207,0.13764,-0.07861
0,488,0.00207,0.13764,-0.07861
0,489,0.00092,0.13669,-0.07648
0,490,0.00092,0.13669,-0.07648
0,491,0.00092,0.13669,-0.07648
0,492,0.00092,0.13669,-0.07648
0,493,0.00092,0.13669,-0.07648
0,494,0.00092,0.13669,-0.07648
0,495,0.00092,0.13669,-0.07648
0,496,0.00092,0.13669,-0.07648
0,497,0.00092,0.13669,-0.07648
0,498,0.00179,0.13703,-0.05525
0,499,0.00179,0.13703,-0.05525
0,500,0.00179,0.13703,-0.05525
0,501,0.00152,0.13649,-0.07333
0,502,0.00152,0.13649,-0.07333
0,503,0.00152,0.13649,-0.07333
0,504,0.00152,0.13649,-0.07333
0,505,0.00167,0.13669,-0.07649
0,506,0.00167,0.13669,-0.07649
0,507,0.00167,0.13669,-0.07649
0,508,0.00167,0.13669,-0.07649
0,509,0.00167,0.13669,-0.07649
0,510,0.00167,0.13669,-0.07649
0,511,0.00253,0.13702,-0.05521
0,512,0.00253,0.13702,-0.05521
0,513,0.00253,0.13702,-0.05521
0,514,0.00253,0.13702,-0.05521
0,515,0.00253,0.13702,-0.05521
0,516,0.00253,0.13702,-0.05521
0,517,0.00253,0.13702,-0.05521
0,518,0.00253,0.13702,-0.05521
0,519,0.00253,0.13702,-0.05521
0,520,0.00213,0.13659,-0.11238
0,521,0.00213,0.13659,-0.11238
0,522,0.00213,0.13659,-0.11238
0,523,0.00213,0.13659,-0.11238
0,524,0.00213,0.13659,-0.11238
0,525,0.00213,0.13659,-0.11238
0,526,0.00213,0.13659,-0.11238
0,527,0.00213,0.13659,-0.11238
0,528,0.00213,0.13659,-0.11238
0,529,0.00213,0.13659,-0.11238
0,530,0.00353,0.13783,-0.0837
0,531,0.00353,0.13783,-0.0837
0,532,0.00353,0.13783,-0.0837
0,533,0.00409,0.13783,-0.05303
0,534,0.00409,0.13783,-0.05303
0,535,0.00409,0.13783,-0.05303
0,536,0.00327,0.13701,-0.05517
0,537,0.00327,0.13701,-0.05517
0,538,0.00327,0.13701,-0.05517
0,539,0.00323,0.1372,-0.06547
0,540,0.00323,0.1372,-0.06547
0,541,0.00323,0.1372,-0.06547
0,542,0.00323,0.1372,-0.06547
0,543,0.00323,0.1372,-0.06547
0,544,0.00323,0.1372,-0.06547
0,545,0.00318,0.1373,-0.11709
0,546,0.00318,0.1373,-0.11709
0,547,0.00318,0.1373,-0.11709
0,548,0.00288,0.13659,-0.11316
0,549,0.00288,0.13659,-0.11316
0,550,0.00288,0.13659,-0.11316
0,551,0.00288,0.13659,-0.11316
0,552,0.00288,0.13659,-0.11316
0,553,0.00288,0.13659,-0.11316
0,554,0.00288,0.13659,-0.11316
0,555,0.00232,0.13635,-0.06871
0,556,0.00232,0.13635,-0.06871
0,557,0.00232,0.13635,-0.06871
0,558,0.00483,0.13836,-0.0615
0,559,0.00483,0.13836,-0.0615
0,560,0.00483,0.13836,-0.0615
0,561,0.00483,0.13836,-0.0615
0,562,0.00483,0.13836,-0.0615
0,563,0.00483,0.13836,-0.0615
0,564,0.00483,0.13836,-0.0615
0,565,0.00483,0.13836,-0.0615
0,566,0.00483,0.13836,-0.0615
0,567,0.00411,0.13716,-0.08979
0,568,0.00411,0.13716,-0.08979
0,569,0.00411,0.13716,-0.08979
0,570,0.00307,0.13636,-0.06879
