i,j,f_learnt
0,246,"[1.493897526835521, -22.880062177162568, -1.4938975268355235, 22.880062177162568]"
0,247,"[1.5935963981531696, -24.407018567252287, -1.5935963981531722, 24.407018567252287]"
0,248,"[1.7417094522562362, -26.675471273179234, -1.741709452256239, 26.675471273179234]"
0,249,"[1.8455775424444, -28.26628210125685, -1.8455775424444032, 28.26628210125685]"
0,250,"[1.8738998273863836, -28.70005726242508, -1.8738998273863867, 28.70005726242508]"
0,251,"[1.9372528817645929, -29.670352612171772, -1.9372528817645962, 29.670352612171772]"
0,252,"[1.9114178131426773, -29.274670869748103, -1.9114178131426807, 29.274670869748103]"
0,253,"[1.9940526257433238, -30.540279531880344, -1.9940526257433273, 30.540279531880344]"
0,254,"[1.8992260382372455, -29.087945500119073, -1.8992260382372486, 29.087945500119073]"
0,255,"[1.8767776868482353, -28.74413364801478, -1.8767776868482384, 28.74413364801478]"
0,256,"[1.8854187361595327, -28.876477227120375, -1.8854187361595358, 28.876477227120375]"
0,257,"[1.9938254874731738, -30.53680075395181, -1.9938254874731771, 30.53680075395181]"
0,258,"[2.2140626180266203, -33.9098830104415, -2.214062618026624, 33.9098830104415]"
0,259,"[2.1973104206520366, -33.653311652199484, -2.19731042065204, 33.653311652199484]"
0,260,"[2.0548035396324025, -31.47072132064609, -2.0548035396324056, 31.47072132064609]"
0,261,"[1.1308279692633239, -33.38439963446945, -1.1308279692633216, 33.38439963446945]"
0,262,"[1.1689811438738529, -34.510760905274736, -1.1689811438738504, 34.510760905274736]"
0,263,"[1.2215164178593185, -36.06171173891894, -1.2215164178593159, 36.06171173891894]"
0,264,"[2.24592423795276, -34.39786550715225, -2.245924237952764, 34.39786550715225]"
0,265,"[2.383168485538195, -36.499855008978614, -2.383168485538199, 36.499855008978614]"
0,266,"[2.2319936610049878, -34.18450919522104, -2.2319936610049917, 34.18450919522104]"
0,267,"[2.306065628125564, -35.31897202340009, -2.306065628125568, 35.31897202340009]"
0,268,"[2.40023484428296, -36.761237963434084, -2.400234844282964, 36.761237963434084]"
0,269,"[2.452704871237255, -37.56485230617598, -2.4527048712372594, 37.56485230617598]"
0,270,"[2.586797688678054, -39.618575500333314, -2.5867976886780584, 39.618575500333314]"
0,271,"[2.6909441913099488, -41.21365040537004, -2.690944191309953, 41.21365040537004]"
0,272,"[2.2970536788706704, -35.18094785803035, -2.2970536788706744, 35.18094785803035]"
0,273,"[1.2603727512654843, -37.208831723585284, -1.2603727512654817, 37.208831723585284]"
0,274,"[1.3189512660895792, -38.93819162804119, -1.3189512660895766, 38.93819162804119]"
0,275,"[1.3465887164712904, -39.75410679241577, -1.3465887164712875, 39.75410679241577]"
0,276,"[1.4057242138984363, -41.49990998472368, -1.4057242138984336, 41.49990998472368]"
0,277,"[1.441491759725682, -42.555842519376895, -1.441491759725679, 42.555842519376895]"
0,278,"[1.2363043105816052, -36.4982811675245, -1.2363043105816027, 36.4982811675245]"
0,279,"[1.1370112318830012, -33.56694244022855, -1.137011231882999, 33.56694244022855]"
0,280,"[1.1965404338524943, -35.32436861157206, -1.1965404338524919, 35.32436861157206]"
0,281,"[1.2323347375868348, -36.38109109543781, -1.2323347375868323, 36.38109109543781]"
0,282,"[1.2906548095013846, -38.102821226303504, -1.290654809501382, 38.102821226303504]"
0,283,"[1.3218915843255568, -39.024995953465094, -1.321891584325554, 39.024995953465094]"
0,284,"[1.2721345139654339, -37.55606348390044, -1.2721345139654312, 37.55606348390044]"
0,285,"[1.3448865852655836, -39.70385632997042, -1.3448865852655807, 39.70385632997042]"
0,286,"[1.4009616647408167, -41.35930960281028, -1.4009616647408139, 41.35930960281028]"
0,287,"[1.4560776408575464, -42.98644814460231, -1.4560776408575433, 42.98644814460231]"
0,288,"[1.4968634877435572, -44.190531390579935, -1.496863487743554, 44.190531390579935]"
0,289,"[1.5556860055290715, -45.927094771247454, -1.5556860055290682, 45.927094771247454]"
0,290,"[1.6150966220730858, -47.681020053558676, -1.6150966220730827, 47.681020053558676]"
0,291,"[1.6599854804528773, -49.006232754357285, -1.659985480452874, 49.006232754357285]"
0,292,"[1.7108469199024763, -50.50776850225352, -1.7108469199024727, 50.50776850225352]"
0,293,"[1.7627731275192717, -52.04073842668051, -1.762773127519268, 52.04073842668051]"
0,294,"[1.8181533963153487, -53.67567943946515, -1.818153396315345, 53.67567943946515]"
0,295,"[1.9103137961529175, -56.39644661385174, -1.9103137961529137, 56.39644661385174]"
0,296,"[1.9665808294968812, -58.057566765155215, -1.9665808294968772, 58.057566765155215]"
0,297,"[2.0996254071709433, -61.985320120215555, -2.099625407170939, 61.985320120215555]"
0,298,"[2.163647778637739, -63.875394024194364, -2.1636477786377344, 63.875394024194364]"
0,299,"[2.2267195699470386, -65.73740481979152, -2.226719569947034, 65.73740481979152]"
0,300,"[2.2737177588209763, -67.12488935511473, -2.2737177588209714, 67.12488935511473]"
0,301,"[2.33824927860248, -69.02999437901049, -2.338249278602475, 69.02999437901049]"
0,302,"[2.394393603157516, -70.68749191099471, -2.394393603157511, 70.68749191099471]"
0,303,"[2.4291576616316166, -71.71379940652959, -2.4291576616316117, 71.71379940652959]"
0,304,"[2.471785586219724, -72.97226462733987, -2.471785586219719, 72.97226462733987]"
0,305,"[2.5429272392082782, -75.07251456683672, -2.542927239208273, 75.07251456683672]"
0,306,"[2.5777641207317763, -76.1009719506391, -2.577764120731771, 76.1009719506391]"
0,307,"[2.637230201730349, -77.85653465930235, -2.6372302017303437, 77.85653465930235]"
