i,j,f_learnt
0,130,"[-0.5340397890397875, 26.605285625290325, 0.5340397890397894, -26.605285625290325]"
0,131,"[-0.5221146659404775, 26.011188869420597, 0.5221146659404794, -26.011188869420597]"
0,132,"[-0.43239311136808023, 21.541357903387727, 0.43239311136808173, -21.541357903387727]"
0,133,"[-0.39206861727398024, 19.53243515065079, 0.3920686172739816, -19.53243515065079]"
0,134,"[-0.5038871393916199, 25.103113179130055, 0.5038871393916217, -25.103113179130055]"
0,135,"[-0.5111170936425973, 25.46330169289397, 0.511117093642599, -25.46330169289397]"
0,136,"[-0.49189282523231254, 24.505569399364873, 0.49189282523231426, -24.505569399364873]"
0,137,"[-0.46070151434914086, 22.951651972039656, 0.46070151434914247, -22.951651972039656]"
0,138,"[-0.4394372983292371, 21.892291691367266, 0.43943729832923867, -21.892291691367266]"
0,139,"[-0.47754850522190817, 23.79095086567179, 0.4775485052219098, -23.79095086567179]"
0,140,"[-0.4941079679694606, 24.615925418583174, 0.4941079679694623, -24.615925418583174]"
0,141,"[-0.6328051330699834, 31.525668416482784, 0.6328051330699856, -31.525668416482784]"
0,142,"[-0.6186537077801862, 30.82065968947956, 0.6186537077801884, -30.82065968947956]"
0,143,"[-0.5997122840421043, 29.877018412099424, 0.5997122840421064, -29.877018412099424]"
0,144,"[-0.5833493242859733, 29.061833426033594, 0.5833493242859753, -29.061833426033594]"
0,145,"[-0.6216118873632017, 30.96803300201595, 0.6216118873632038, -30.96803300201595]"
0,146,"[-0.6167393089433456, 30.725286406626523, 0.6167393089433477, -30.725286406626523]"
0,147,"[-0.5596182234674392, 27.879575608474944, 0.5596182234674411, -27.879575608474944]"
0,148,"[-0.5361601505315209, 26.71091974520836, 0.5361601505315228, -26.71091974520836]"
0,149,"[-0.5329080608351208, 26.548904148191966, 0.5329080608351225, -26.548904148191966]"
0,150,"[-0.510123313144196, 25.41379262156363, 0.5101233131441977, -25.41379262156363]"
0,151,"[-0.48527241696976353, 24.17574780854699, 0.48527241696976525, -24.17574780854699]"
0,152,"[-0.538245843840537, 26.81482673369868, 0.5382458438405389, -26.81482673369868]"
0,153,"[-0.5351407388316295, 26.660133755096766, 0.5351407388316314, -26.660133755096766]"
0,154,"[-0.5282107302397878, 26.31488821018489, 0.5282107302397896, -26.31488821018489]"
0,155,"[-0.4986949157300253, 24.84444220295524, 0.498694915730027, -24.84444220295524]"
0,156,"[-0.47420866641659976, 23.624563702802472, 0.47420866641660137, -23.624563702802472]"
0,157,"[-0.44951035634671754, 22.394120564749617, 0.4495103563467191, -22.394120564749617]"
0,158,"[-0.4142983166340495, 22.069774175676294, 0.4142983166340487, -22.069774175676294]"
0,159,"[-0.45498127714831643, 24.236965581720337, 0.4549812771483156, -24.236965581720337]"
0,160,"[-0.4116936517425046, 21.931023030301777, 0.41169365174250383, -21.931023030301777]"
0,161,"[-0.38593201645571124, 20.558694323309062, 0.38593201645571057, -20.558694323309062]"
0,162,"[-0.4181089707915033, 22.27276866862977, 0.41810897079150255, -22.27276866862977]"
0,163,"[-0.3300987231073364, 17.584440926157676, 0.3300987231073358, -17.584440926157676]"
0,164,"[-0.3083127851748625, 16.423898604187055, 0.30831278517486194, -16.423898604187055]"
0,165,"[-0.28556311969698867, 15.212018276629891, 0.28556311969698817, -15.212018276629891]"
0,166,"[-0.23875980576866532, 12.718794124855753, 0.23875980576866487, -12.718794124855753]"
0,167,"[-0.2196324486364937, 11.69987506210365, 0.21963244863649328, -11.69987506210365]"
0,168,"[-0.2321633766319509, 12.367400707194994, 0.2321633766319505, -12.367400707194994]"
0,169,"[-0.20916295458139877, 11.142162514761527, 0.20916295458139839, -11.142162514761527]"
0,170,"[-0.206364155418293, 10.993069788547587, 0.20636415541829262, -10.993069788547587]"
0,171,"[-0.18268198177897277, 9.73151451973722, 0.18268198177897244, -9.73151451973722]"
0,172,"[-0.15793475071406532, 8.413223377467824, 0.15793475071406504, -8.413223377467824]"
0,173,"[-0.45848613019689916, 7.119482048354842, 0.45848613019689916, -7.119482048354842]"
0,174,"[-0.4619971587190825, 7.174002137161479, 0.4619971587190825, -7.174002137161479]"
0,175,"[-0.3794175065821954, 5.891685590976171, 0.3794175065821954, -5.891685590976171]"
0,176,"[-0.2998734136441221, 4.656505932472485, 0.2998734136441221, -4.656505932472485]"
0,177,"[-0.33031951397547027, 5.129280244442087, 0.33031951397547027, -5.129280244442087]"
0,178,"[-0.282581733171579, 4.387996591399748, 0.282581733171579, -4.387996591399748]"
0,179,"[-0.20473502535207808, 3.1791743341017025, 0.20473502535207808, -3.1791743341017025]"
0,180,"[-0.11139007531499676, 1.7296916729617065, 0.11139007531499676, -1.7296916729617065]"
0,181,"[-0.029972003692393685, 0.46541242621577794, 0.029972003692393685, -0.46541242621577794]"
0,182,"[-0.16654423751700592, 2.586138666288684, 0.16654423751700592, -2.586138666288684]"
0,183,"[-0.10415074203012852, 1.6172775780325035, 0.10415074203012852, -1.6172775780325035]"
0,184,"[-0.1682294242698312, 2.612306648359837, 0.1682294242698312, -2.612306648359837]"
0,185,"[-0.09141347041753319, 1.4194901846560715, 0.09141347041753319, -1.4194901846560715]"
0,186,"[-0.032993190808929526, 0.5123261407738618, 0.032993190808929526, -0.5123261407738618]"
0,187,"[-0.07886997747382822, 1.2247118326958464, 0.07886997747382822, -1.2247118326958464]"
0,188,"[0.11125328554821066, -1.727567568817893, -0.11125328554821066, 1.727567568817893]"
0,189,"[0.2737991400557942, -4.2516183895139426, -0.2737991400557942, 4.2516183895139426]"
0,190,"[0.2829328949207956, -4.393449514847057, -0.2829328949207956, 4.393449514847057]"
0,191,"[0.2593324681872541, -4.026976456238274, -0.2593324681872541, 4.026976456238274]"
0,192,"[0.33611860043955055, -5.219329843020229, -0.33611860043955055, 5.219329843020229]"
0,193,"[0.5130369965801417, -7.966560920230223, -0.5130369965801417, 7.966560920230223]"
0,194,"[0.6474338670649674, -10.053507599207993, -0.6474338670649674, 10.053507599207993]"
0,195,"[0.6356971877686349, -9.684003637336104, -0.6356971877686342, 9.684003637336104]"
0,196,"[0.6716526201443045, -10.231736967933601, -0.6716526201443037, 10.231736967933601]"
0,197,"[0.4948660465541581, -7.538627961602341, -0.49486604655415745, 7.538627961602341]"
